hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
06/01/18 11,177,691,158,213,65,168,158,691
06/01/18 12,303,797,183,235,70,195,183,797
06/01/18 13,529,970,180,240,59,174,180,970
06/01/18 14,660,930,204,278,44,193,204,930
06/01/18 15,168,758,196,246,48,176,196,758
06/01/18 16,172,787,197,259,58,152,197,787
06/01/18 17,165,1153,381,428,26,172,381,1153
06/01/18 18,213,1251,372,475,36,183,372,1251
06/01/18 19,491,1193,322,454,20,138,322,1193
06/01/18 20,509,1389,374,537,29,162,374,1389
06/01/18 21,435,1284,345,468,24,133,345,1284
06/01/18 22,736,1480,372,437,33,153,372,1480
06/01/18 23,425,1254,338,424,28,105,338,1254
07/01/18 00,388,1093,231,332,17,94,231,1093
07/01/18 01,207,740,157,234,18,69,157,740
07/01/18 02,68,522,174,176,10,52,174,522
07/01/18 03,13,361,84,145,10,60,84,361
07/01/18 04,146,237,57,115,16,38,57,237
07/01/18 05,138,268,63,80,21,55,63,268
07/01/18 06,106,409,68,127,19,60,68,409
07/01/18 07,103,386,22,101,15,54,22,386
